max_depth,learning_rate,n_estimators,accuracy,f1_score,recall,roc_auc,precision,cv_score,train_score,overfitting
5,0.1,500,0.82610220001753,0.8320243647251468,0.82610220001753,0.9225714792546789,0.8525407022546272,0.8187974996228441,0.8733400534689048,OK
5,0.05,500,0.8157594881234114,0.8228151470517227,0.8157594881234114,0.9214951818742552,0.8509013072964489,0.8107333676615637,0.8395932857080247,OK
3,0.1,500,0.8063809273380664,0.8137671936231283,0.8063809273380664,0.9113090096624986,0.8416096325053584,0.8011352364877914,0.8143270368584827,OK
3,0.05,500,0.796213515645543,0.8045376007510457,0.796213515645543,0.9025055432008771,0.8389755489828951,0.7902661932581635,0.7955471797344086,OK
