CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Comunidad
CLIX1372,3,0,1,1.0,1,0,3,1,1,0,0,0,2.0,0,3.0,1,0,23335,5,62,14
CLIX1373,3,0,1,1.0,1,0,0,1,1,0,0,0,2.0,0,3.0,1,0,11725,8,40,10
CLIX1374,3,0,1,1.0,1,0,0,0,1,1,0,0,3.0,0,3.0,1,1223,35749,2,40,2
CLIX1375,3,0,1,1.0,1,0,0,0,1,0,0,0,0.0,1,3.0,1,0,33027,2,38,6
CLIX1376,3,0,1,1.0,1,3,0,1,1,0,0,0,2.0,0,3.0,1,0,19685,8,60,14
CLIX1377,3,0,0,1.0,1,0,0,0,1,0,0,0,3.0,1,3.0,1,519,10087,4,48,7
CLIX1378,3,0,0,1.0,1,0,0,1,1,0,0,0,2.0,0,0.0,1,0,5986,7,46,7
CLIX1379,3,0,0,1.0,1,0,0,0,1,0,0,0,3.0,0,3.0,1,1380,10724,8,59,14
CLIX1380,3,0,0,1.0,1,0,0,1,1,1,1,0,2.0,0,3.0,1,3058,18212,6,55,14
CLIX1381,3,0,0,1.0,1,0,0,1,1,0,1,0,3.0,0,0.0,0,3244,10399,5,38,15
CLIX1382,3,0,0,1.0,0,0,0,0,1,1,0,0,2.0,0,0.0,0,3520,13615,6,46,14
CLIX1383,3,0,0,2.0,1,0,3,1,1,1,0,0,1.0,1,0.0,0,0,19275,7,52,7
CLIX1384,3,0,0,2.0,1,0,0,1,1,0,0,0,3.0,0,0.0,0,1465,10340,7,55,14
CLIX1385,3,0,0,2.0,1,0,0,1,1,1,0,0,2.0,1,3.0,1,0,13082,5,37,7
CLIX1386,3,7,1,2.0,1,3,0,1,1,0,0,0,3.0,0,3.0,1,4613,28326,7,42,17
CLIX1387,3,7,1,1.0,1,2,0,1,1,0,0,0,3.0,0,3.0,1,0,17938,8,48,5
CLIX1388,3,7,0,1.0,1,0,0,1,1,0,0,0,2.0,0,3.0,1,0,10085,7,60,16
CLIX1389,3,0,0,1.0,1,0,0,0,1,0,1,0,3.0,0,0.0,0,4451,10315,5,46,14
CLIX1390,3,0,1,2.0,1,0,3,1,1,0,0,0,0.0,0,3.0,1,6257,19479,4,37,9
CLIX1391,3,0,1,2.0,1,0,0,1,1,1,0,0,2.0,1,3.0,1,3619,14080,4,48,7
CLIX1392,3,0,1,2.0,1,0,0,1,1,1,0,0,3.0,0,3.0,1,3947,17467,7,44,0
CLIX1393,3,0,1,2.0,1,0,0,0,0,0,1,0,3.0,0,3.0,1,4970,11746,3,51,9
CLIX1394,3,0,1,1.0,1,0,0,1,1,0,0,0,0.0,0,1.0,0,3027,6801,6,55,6
CLIX1395,3,0,1,1.0,1,0,0,1,1,1,0,0,3.0,1,3.0,1,3220,6815,4,52,18
CLIX1396,3,0,1,1.0,1,0,0,1,1,0,0,0,1.0,0,2.0,0,3772,9214,4,54,9
CLIX1397,3,0,1,1.0,1,0,0,1,1,0,1,0,3.0,0,3.0,1,4970,12013,6,57,18
CLIX1398,3,0,1,1.0,1,0,3,1,1,0,0,0,3.0,0,2.0,0,2294,21170,3,59,17
CLIX1399,3,0,1,1.0,1,0,0,1,1,0,0,0,2.0,1,3.0,1,3772,10749,5,46,9
CLIX1400,3,0,0,2.0,1,0,0,1,1,0,0,0,1.0,0,0.0,0,2018,15046,4,51,1
CLIX1401,3,0,0,2.0,1,0,0,1,1,0,0,0,2.0,1,0.0,0,5417,16011,4,38,17
CLIX1402,3,0,0,2.0,0,0,3,1,1,0,1,0,3.0,0,0.0,0,3831,13413,4,43,18
CLIX1403,3,0,0,2.0,0,0,0,1,1,0,0,0,3.0,1,0.0,0,2521,28399,3,58,1
CLIX1405,3,7,1,2.0,1,0,0,1,1,1,0,0,2.0,1,3.0,1,3170,10520,3,58,17
CLIX1406,3,7,1,2.0,1,0,0,1,1,0,0,0,3.0,1,3.0,1,7455,32575,3,40,18
CLIX1407,3,5,0,1.0,1,2,0,1,1,0,0,0,3.0,1,2.0,0,3428,10779,4,53,5
CLIX1408,3,5,0,1.0,1,2,0,0,2,0,0,0,3.0,1,3.0,1,2342,7434,2,37,3
CLIX1409,3,5,0,1.0,1,0,0,1,1,0,1,0,2.0,1,2.0,1,2342,12376,2,53,14
CLIX1410,3,5,0,1.0,1,2,0,1,1,1,0,0,3.0,1,0.0,0,6108,14548,2,60,16
CLIX1411,3,5,0,1.0,1,3,0,1,1,0,0,0,2.0,1,0.0,0,2605,8249,3,38,17
CLIX1412,3,5,0,1.0,1,2,0,1,1,1,0,1,2.0,1,0.0,0,3503,18055,2,49,14
CLIX1413,3,5,0,1.0,1,3,0,1,2,1,0,1,3.0,1,0.0,0,4670,22870,2,40,15
CLIX1414,3,7,0,1.0,1,1,0,1,1,0,1,0,2.0,1,3.0,1,4670,13639,4,40,7
CLIX1415,3,7,0,1.0,1,3,0,1,1,1,0,0,2.0,1,0.0,1,3571,12448,2,37,7
CLIX1416,3,7,0,1.0,1,2,1,1,1,1,0,0,3.0,0,0.0,0,6017,0,1,48,7
CLIX1417,3,5,1,1.0,1,2,3,1,1,1,0,0,1.0,1,3.0,1,6519,21620,3,40,2
CLIX1418,3,5,1,1.0,1,2,0,1,1,1,0,0,1.0,1,3.0,1,3748,8383,2,53,1
CLIX1419,3,5,1,1.0,1,2,0,1,1,0,0,0,0.0,1,3.0,1,2662,22005,3,57,0
CLIX1420,3,5,1,1.0,1,3,0,1,1,0,1,0,1.0,1,3.0,1,2662,20909,2,45,6
CLIX1421,3,5,1,1.0,1,0,3,1,1,0,0,0,2.0,1,0.0,0,2662,24517,2,59,14
CLIX1422,3,5,1,1.0,1,2,3,1,1,1,0,1,2.0,1,2.0,0,3605,24800,2,56,14
CLIX1423,3,5,1,1.0,1,2,0,0,1,1,0,1,3.0,1,3.0,1,6072,24047,2,58,5
CLIX1424,3,5,1,1.0,1,2,0,1,1,1,0,0,2.0,1,3.0,1,8448,43404,1,59,17
CLIX1425,3,5,1,1.0,1,2,0,1,1,1,0,1,3.0,1,1.0,0,7101,16142,2,62,4
CLIX1426,3,5,1,1.0,1,2,3,1,1,1,0,0,1.0,1,0.0,0,5080,19072,2,37,10
CLIX1427,3,5,1,2.0,1,2,0,1,1,1,0,0,3.0,1,2.0,0,8448,24753,2,60,11
CLIX1428,3,5,1,2.0,1,0,0,1,1,0,0,0,2.0,1,0.0,0,2662,22114,2,57,9
