CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo,Comunidad
CLI44,0,0,0,0.0,1,3,3,1,1,1,0,0,3.0,1,2.0,0,234,4720,11844,1,2,60,9,15
CLI45,0,0,0,0.0,1,2,0,0,1,1,0,1,3.0,0,0.0,0,2,2594,0,1,2,23,4,15
CLI46,0,0,0,0.0,1,0,0,1,1,0,0,0,2.0,0,0.0,1,206,2594,0,0,1,30,0,15
CLI47,0,0,0,0.0,1,2,3,1,1,1,0,0,3.0,0,0.0,0,2,2228,0,1,1,27,4,11
CLI48,0,0,0,0.0,1,2,3,1,2,1,0,1,3.0,0,0.0,0,239,2594,0,1,2,28,4,15
CLI49,0,0,0,0.0,1,2,0,1,1,1,0,1,3.0,0,0.0,0,221,4720,0,1,1,25,6,12
CLI50,0,0,0,0.0,1,3,0,0,1,1,0,0,3.0,1,0.0,0,25,4720,14663,1,2,37,9,18
CLI51,0,0,0,0.0,1,1,0,1,1,0,0,0,1.0,0,1.0,0,204,2594,0,0,1,30,0,0
CLI52,0,0,0,0.0,1,2,3,0,1,1,0,0,2.0,1,3.0,1,251,5227,5865,1,2,60,8,12
CLI53,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,1,3.0,1,233,5677,22231,1,1,26,7,6
CLI54,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,3.0,1,239,2594,0,0,1,28,0,6
CLI55,0,0,0,0.0,1,2,0,0,1,0,0,1,3.0,0,1.0,0,16,2169,0,0,1,21,0,15
CLI56,0,0,0,0.0,1,2,1,0,1,1,0,0,3.0,0,3.0,1,212,3233,0,0,2,30,0,15
CLI57,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,1,0.0,0,236,3233,7998,1,2,29,6,18
CLI58,0,0,0,0.0,1,3,2,0,1,0,0,0,1.0,1,0.0,0,239,2594,24347,0,1,53,0,9
