CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIX10107;I;TIPO7;FUEL 2;Alta;A;Contado;EN PAREJA;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;0;21179;4;62
CLIX10108;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;0;10316;2;45
CLIX10109;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;F;Empresa;Valencia;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;0;0;4;58
CLIX10110;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia grave;NO;1098;24131;4;50
CLIX10111;I;TIPO7;FUEL 2;Alta;A;Financiera Marca;CASADO;M;Empresa;Asturias;SI;NO;NO;Alto;SI;No;NO;5200;10356;2;32
CLIX10112;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;1829;25381;4;60
CLIX10113;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1829;0;2;37
CLIX10114;I;TIPO7;FUEL 2;Alta;A;Contado;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;No;NO;1829;15247;1;47
CLIX10115;I;TIPO7;FUEL 2;Alta;A;Contado;EN PAREJA;M;Empresa;Gerona;NO;NO;NO;NA;NO DATA;No;NO;1829;0;1;42
CLIX10116;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;NA;NO DATA;No;NO;1829;0;1;40
CLIX10117;I;TIPO7;FUEL 2;Alta;A;Otros;SOLTERO;F;Autonomo;Barcelona;NO;NO;NO;NA;NO DATA;No;NO;1829;0;0;59
CLIX10118;I;TIPO7;FUEL 2;Alta;A;Financiera Marca;CASADO;M;Empresa;Cuenca;NO;NO;SI;NA;NO DATA;No;NO;2574;0;0;40
CLIX10119;I;TIPO7;FUEL 1;Alta;A;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1759;0;1;49
CLIX10120;I;TIPO7;FUEL 1;Alta;A;Financiera Marca;CASADO;F;Empresa;Vizcaya;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2727;0;1;53
CLIX10121;I;TIPO7;FUEL 1;Alta;A;Otros;CASADO;M;Empresa;Valencia;NO;NO;NO;NA;NO DATA;No;NO;1829;0;0;32
CLIX10122;I;TIPO7;FUEL 1;Alta;A;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;NA;NO DATA;No;NO;1829;0;0;61
CLIX10123;E;TIPO2;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Cadiz;NO;NO;NO;Medio;NO DATA;No;NO;3238;2994;7;44
CLIX10124;E;TIPO2;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Asturias;NO;NO;NO;Medio;SI;Averia muy grave;SI;3183;12384;7;50
CLIX10125;E;TIPO2;FUEL 1;Alta;A;Contado;CASADO;M;Empresa;Lacoruna;SI;SI;NO;Medio;NO DATA;No;SI;0;7235;4;49
CLIX10126;E;TIPO2;FUEL 1;Alta;A;Contado;CASADO;M;Empresa;Lacoruna;SI;SI;NO;Medio;NO DATA;No;SI;0;7235;8;56
CLIX10127;E;TIPO2;FUEL 1;Media;M;Financiera Banco;OTROS;M;Empresa;Salamanca;SI;NO;NO;Medio;SI;Averia grave;SI;3207;12640;4;57
CLIX10128;E;TIPO2;FUEL 1;Media;M;Contado;CASADO;M;Autonomo;Barcelona;NO;SI;NO;Alto;NO DATA;No;NO;3025;4956;4;54
CLIX10129;E;TIPO2;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;4377;13752;4;37
CLIX10130;E;TIPO2;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Vizcaya;NO;SI;NO;NA;NO DATA;No;NO;3457;13457;4;55
CLIX10131;E;TIPO2;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Pontevedra;NO;NO;NO;Alto;SI;No;SI;2815;17839;2;60
CLIX10132;E;TIPO2;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Gerona;SI;NO;NO;Medio-Bajo;SI;No;NO;5051;5170;2;38
CLIX10133;E;TIPO2;FUEL 1;Alta;M;Contado;SOLTERO;M;Empresa;Murcia;NO;NO;NO;Medio-Bajo;NO DATA;No;SI;1408;0;1;43
CLIX10134;E;TIPO2;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;SI;1465;0;1;47
CLIX10135;E;TIPO2;FUEL 1;Alta;M;Financiera Marca;SOLTERO;M;Empresa;Orense;NO;NO;SI;NA;NO DATA;No;NO;2329;0;1;47
CLIX10136;E;TIPO2;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;SI;NA;NO DATA;No;NO;2197;0;1;60
CLIX10137;E;TIPO2;FUEL 1;Media;M;Financiera Marca;OTROS;M;Empresa;Malaga;SI;NO;SI;NA;NO DATA;No;NO;1465;0;1;24
CLIX10138;B;TIPO6;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Castellon;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;732;16892;4;61
CLIX10139;B;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Granada;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;4545;26376;7;39
CLIX10140;B;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Granada;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;5470;31682;2;61
CLIX10141;B;TIPO1;FUEL 2;Media;M;Contado;EN PAREJA;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;3301;5921;9;43
CLIX10142;B;TIPO1;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;4736;15562;5;49
CLIX10143;B;TIPO1;FUEL 2;Media;M;Contado;SOLTERO;F;Empresa;Madrid;NO;SI;NO;Medio;NO DATA;Averia muy grave;SI;4869;14311;6;50
